baron_fst,baron_kills,champ_fst,champ_kills,drg_fst,drg_kill,inhib_fst,inhib_kills,rf_fst,rf_kills,tw_fst,tw_kills,teamId,win,gameDuration
True,1.0,True,25.0,True,4.0,False,0.0,False,0.0,True,4.0,100.0,True,1470
False,0.0,True,48.0,False,0.0,False,1.0,False,0.0,False,4.0,100.0,False,1213
False,0.0,False,24.0,False,0.0,False,0.0,False,0.0,False,1.0,100.0,False,1738
False,0.0,False,9.0,True,2.0,False,0.0,False,1.0,False,2.0,100.0,False,1612
False,0.0,True,21.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1471
False,0.0,False,5.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,965
False,0.0,False,63.0,False,0.0,False,2.0,False,0.0,True,4.0,100.0,True,1492
False,0.0,True,16.0,False,0.0,False,0.0,False,0.0,False,2.0,100.0,False,1508
False,0.0,False,38.0,True,4.0,False,1.0,False,0.0,False,9.0,100.0,True,2051
False,0.0,False,7.0,False,0.0,False,0.0,True,1.0,False,0.0,100.0,False,1317
False,0.0,True,15.0,False,0.0,False,0.0,False,0.0,False,3.0,100.0,False,1330
False,1.0,False,31.0,False,2.0,True,1.0,True,1.0,False,8.0,100.0,True,1851
False,0.0,False,9.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1421
False,0.0,False,14.0,False,1.0,False,0.0,True,1.0,True,2.0,100.0,False,1452
False,0.0,True,33.0,True,2.0,False,0.0,True,1.0,True,8.0,100.0,True,1933
True,1.0,False,21.0,True,1.0,True,1.0,False,1.0,False,8.0,100.0,True,1626
True,1.0,True,36.0,True,2.0,True,2.0,True,2.0,True,9.0,100.0,False,2179
False,0.0,True,27.0,False,0.0,False,0.0,True,1.0,True,3.0,100.0,False,1629
False,0.0,True,20.0,False,0.0,False,0.0,False,1.0,False,1.0,100.0,False,1386
False,0.0,True,32.0,False,1.0,True,6.0,True,2.0,True,11.0,100.0,False,2051
False,0.0,False,11.0,False,0.0,False,0.0,False,0.0,False,1.0,100.0,False,1072
False,0.0,False,6.0,False,0.0,False,0.0,True,1.0,False,0.0,100.0,False,1108
False,0.0,False,73.0,False,0.0,True,4.0,False,0.0,False,4.0,100.0,True,1803
False,0.0,True,26.0,False,2.0,False,0.0,True,1.0,False,4.0,100.0,False,1716
True,1.0,True,27.0,False,2.0,True,2.0,True,2.0,True,10.0,100.0,True,1562
False,0.0,False,38.0,True,4.0,False,1.0,False,0.0,False,9.0,100.0,True,2051
False,0.0,False,7.0,False,0.0,False,0.0,True,1.0,False,0.0,100.0,False,1317
False,0.0,True,23.0,True,3.0,False,0.0,False,1.0,False,2.0,100.0,False,1684
True,1.0,True,27.0,False,2.0,True,2.0,True,2.0,True,10.0,100.0,True,1562
True,2.0,False,38.0,False,3.0,True,3.0,True,2.0,True,8.0,100.0,False,2228
True,1.0,False,31.0,False,2.0,True,1.0,True,1.0,True,8.0,100.0,True,1510
False,0.0,False,19.0,False,0.0,False,0.0,False,0.0,False,2.0,100.0,False,1767
False,0.0,False,7.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1602
False,0.0,False,32.0,True,2.0,False,0.0,True,1.0,True,5.0,100.0,False,1829
False,0.0,False,32.0,False,2.0,False,0.0,True,1.0,True,1.0,100.0,False,1790
False,0.0,False,11.0,False,0.0,False,0.0,False,0.0,False,1.0,100.0,False,1072
True,1.0,False,32.0,True,2.0,True,1.0,True,1.0,True,9.0,100.0,True,1644
False,0.0,True,28.0,False,1.0,False,0.0,True,2.0,True,5.0,100.0,True,1129
True,1.0,False,38.0,True,3.0,True,3.0,True,1.0,True,11.0,100.0,True,1419
False,0.0,False,18.0,True,2.0,False,0.0,False,0.0,False,2.0,100.0,False,1604
False,0.0,True,45.0,False,0.0,True,1.0,False,0.0,False,2.0,100.0,False,991
False,0.0,True,32.0,False,1.0,True,6.0,True,2.0,True,11.0,100.0,False,2051
False,0.0,False,9.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,984
True,1.0,False,32.0,False,2.0,True,1.0,False,0.0,False,5.0,100.0,True,1754
False,0.0,False,24.0,False,3.0,True,1.0,True,2.0,True,7.0,100.0,True,1724
True,1.0,False,23.0,True,1.0,False,0.0,False,0.0,False,0.0,100.0,False,1545
False,0.0,False,38.0,True,4.0,False,1.0,False,0.0,False,9.0,100.0,True,2051
